Processes: 406 total, 2 running, 404 sleeping, 1604 threads 
2018/10/10 16:34:20
Load Avg: 2.02, 2.24, 2.00 
CPU usage: 9.18% user, 22.44% sys, 68.36% idle 
SharedLibs: 239M resident, 65M data, 24M linkedit.
MemRegions: 68151 total, 3376M resident, 94M private, 623M shared.
PhysMem: 8150M used (1519M wired), 41M unused.
VM: 2500G vsize, 1313M framework vsize, 639804(0) swapins, 686930(0) swapouts.
Networks: packets: 1232368/1406M in, 906203/92M out.
Disks: 662728/12G read, 684821/11G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
4558  tailspind        0.0  00:00.02 2     2   29+    864K+  0B     740K+  4558 1    sleeping  0[0]       0.00000 0.00000    0   1896+    136+    98+       64+       548+      221+      193+       24+     5        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
4514  parsec-fbf       0.0  00:00.07 2     2   37+    1512K+ 0B     1416K+ 4514 1    sleeping  0[0]       0.00000 0.00000    501 3200+    195+    179+      86+       922+      427+      336+       147+    9        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4422  adservicesd      0.0  00:00.85 2     1   80+    4348K+ 0B     1816K+ 4422 1    sleeping *0[1+]      0.00000 0.00000    501 5079+    219+    1585+     1400+     14018+    16393+    14475+     252+    3623     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4419  UIKitSystem      0.0  00:00.89 3     1   100+   17M+   0B     13M+   4419 1    sleeping *0[65+]     0.00000 0.00000    501 10928+   2433+   5461+     2898+     22889+    15464+    8299+      962+    25       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4346  SafariPlugInUpda 0.0  00:00.07 2     2   40+    2688K+ 0B     1892K+ 4346 1    sleeping *0[1+]      0.00000 0.00000    501 7000+    165+    197+      89+       1043+     432+      268+       2+      5        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4324  smd              0.0  00:00.01 2     2   17+    620K+  0B     612K+  4324 1    sleeping *0[11+]     0.00000 0.00000    0   1446+    126+    144+      68+       497+      233+      89+        2+      4        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
4302  diskimages-helpe 0.0  00:04.39 3     1   63+    21M+   0B     15M+   4302 1    sleeping *0[1+]      0.00000 0.00000    0   7765+    136+    1253+     567+      3174+     1509+     2860+      115+    3        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
4300  hdiejectd        0.0  00:00.04 2     1   36+    1016K+ 0B     768K+  4300 1    sleeping  0[0]       0.00000 0.00000    0   1849+    145+    472+      189+      669+      633+      230+       8+      28       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
4109  homed            0.0  00:01.68 3     1   115+   6916K+ 0B     3600K+ 4109 1    sleeping *0[212+]    0.00000 0.00000    501 13878+   313+    8537+     1846+     16396+    17278+    16412+     2199+   1269     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4107  passd            0.0  00:00.80 2     1   123+   9904K+ 0B     7264K+ 4107 1    sleeping *0[32+]     0.00000 0.00000    501 9944+    341+    1926+     1095+     15061+    6119+     11137+     549+    2740     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3995  MTLCompilerServi 0.0  00:00.10 3     3   23+    4436K+ 0B     2816K+ 3995 1    sleeping *0[4+]      0.00000 0.00000    501 2716+    176+    130+      41+       603+      262+      202+       86+     1        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
